Country or Area,Item,Year,Value
South Africa,"GDP, PPP (constant 2021 international $)",1990,440342159085.973
South Africa,"GDP, PPP (constant 2021 international $)",1991,435858397211.103
South Africa,"GDP, PPP (constant 2021 international $)",1992,426543960104.988
South Africa,"GDP, PPP (constant 2021 international $)",1993,431805626986.685
South Africa,"GDP, PPP (constant 2021 international $)",1994,445623407063.091
South Africa,"GDP, PPP (constant 2021 international $)",1995,459437732684.471
South Africa,"GDP, PPP (constant 2021 international $)",1996,479193555177.351
South Africa,"GDP, PPP (constant 2021 international $)",1997,491652587618.975
South Africa,"GDP, PPP (constant 2021 international $)",1998,494110850558.748
South Africa,"GDP, PPP (constant 2021 international $)",1999,505969510959.625
South Africa,"GDP, PPP (constant 2021 international $)",2000,527220230423.361
South Africa,"GDP, PPP (constant 2021 international $)",2001,541455176645.799
South Africa,"GDP, PPP (constant 2021 international $)",2002,561491045411.894
South Africa,"GDP, PPP (constant 2021 international $)",2003,578049840084.582
South Africa,"GDP, PPP (constant 2021 international $)",2004,604377466344.811
South Africa,"GDP, PPP (constant 2021 international $)",2005,636270779356.653
South Africa,"GDP, PPP (constant 2021 international $)",2006,671926162386.709
South Africa,"GDP, PPP (constant 2021 international $)",2007,707944589983.094
South Africa,"GDP, PPP (constant 2021 international $)",2008,730535412540.345
South Africa,"GDP, PPP (constant 2021 international $)",2009,719299126730.866
South Africa,"GDP, PPP (constant 2021 international $)",2010,741163898800.861
South Africa,"GDP, PPP (constant 2021 international $)",2011,764648094050.944
South Africa,"GDP, PPP (constant 2021 international $)",2012,782970839309.259
South Africa,"GDP, PPP (constant 2021 international $)",2013,802431329034.342
South Africa,"GDP, PPP (constant 2021 international $)",2014,813776315425.273
South Africa,"GDP, PPP (constant 2021 international $)",2015,824533317230.759
South Africa,"GDP, PPP (constant 2021 international $)",2016,830012772419.474
South Africa,"GDP, PPP (constant 2021 international $)",2017,839623880014.571
South Africa,"GDP, PPP (constant 2021 international $)",2018,852695008950.194
South Africa,"GDP, PPP (constant 2021 international $)",2019,854911466642.363
South Africa,"GDP, PPP (constant 2021 international $)",2020,803930033740.309
South Africa,"GDP, PPP (constant 2021 international $)",2021,841739362177.408
South Africa,"GDP, PPP (constant 2021 international $)",2022,857820002882.552
